label,label_hint,hint_reason,similarity,edge_cents,strategy,kalshi_id,kalshi_label,kalshi_yes,kalshi_no,poly_id,poly_label,poly_yes,poly_no
1,-1,needs review,0.8993,21.5,NO on Kalshi @ 68.0¢  +  YES on Polymarket @ 10.5¢,KXFED-26DEC-T3.00,"Will the upper bound of the federal funds rate be above 3.00% following the Fed's Dec 9, 2026 meeting? — Above 3.00%",46.0,68.0,0xf9ca1f6608ee282342a6c8d108dda15b91fc9cc1cf9e90a548c3ae5f825b425f,Will the upper bound of the target federal funds rate be 3.0% at the end of 2026?,10.5,89.5
2,-1,needs review,0.8345,0.75,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 97.2¢,KXGOVIANOMR-26-EAND,Wil Eddie Andrews be the Republican nominee for Governor in Iowa? — Eddie Andrews,2.0,100.0,0x6b2b1cc749b2a2b6652eab2671b31def0eb5535a76c16ab6df504d67815d3b58,Will Eddie Andrews win the 2026 Iowa Governor Republican primary election?,2.75,97.25
2,-1,needs review,0.8814,8.0,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 88.0¢,KXMLBALCY-26-DCEA,Will Dylan Cease win AL Cy Young? — Dylan Cease,4.0,98.0,0x581ff17b196a1ce81f9d6f30b2cbe712c72a14b2937019f99a1d8a8e61882ab4,Will Dylan Cease win the 2026 AL Cy Young Award?,12.0,88.0
1,-1,needs review,0.8791,44.0,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 53.0¢,KXDOGEMAX1-26-JUN01-0.99999999,"When will Dogecoin hit $1? — Before Jun 1, 2026",3.0,98.0,0x7f12103668611a9b1a86b5df27a4285d046c6c9a8c58e9cc18a4d588f1853fdf,"Will Dogecoin reach $0.20 by December 31, 2026?",47.0,53.0
2,-1,needs review,0.8376,0.4,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 98.6¢,KXSENATEMND-26-MHOR,Wil Melissa Hortman be the Democratic nominee for the Senate in Minnesota? — Melissa Hortman,1.0,100.0,0x273f7d0c4fef901241d1318ca873004a07f7944c7bf037e9f0e79f7205097502,Will Melisa Hortman be the Democratic nominee for Senate in Minnesota?,1.4,98.6
2,-1,needs review,0.9015,2.4,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 94.6¢,KXMLSCUP-26-DAL,Will Dallas win the MLS Cup? — Dallas,3.0,100.0,0xfd400a600d2344802c8d2bd19bd837e94e7dae1d37a1057254442d8a3db0936c,Will FC Dallas win the 2026 MLS Cup?,5.4,94.6
2,-1,needs review,0.9099,10.5,YES on Kalshi @ 11.0¢  +  NO on Polymarket @ 78.5¢,KXMLBALHAARON-26-JRAM,Will José Ramírez win AL Hank Aaron Award? — José Ramírez,11.0,99.0,0x6359895f8a3da37cb8c9568b40fc418e7b7c8fc5365a605ce5275fda5aaf44d7,Will José Ramírez win the 2026 American League Hank Aaron Award?,21.5,78.5
1,1,threshold mismatch (13.0 vs 7.0),0.8311,14.85,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 84.2¢,KXOSCARCOUNT-26-ONE-13,How many awards will One Battle After Another win at the Oscars? — Exactly 13,1.0,100.0,0xfbac2a3ef5367a2e5c694b27da8572c2479f2489439660cbfe579831bb1c9aaa,"Will ""One Battle After Another"" win exactly 7 awards at the Oscars?",15.85,84.15
1,1,threshold mismatch (4500.0 vs 400.0),0.8399,7.0,YES on Kalshi @ 19.0¢  +  NO on Polymarket @ 74.0¢,KXETHMAXY-27JAN01-4500.00,"Will Ethereum reach above $4500.00 by Jan 1, 2027 at 12:00AM? — Above $4,500.00",19.0,82.0,0x7f81f50d29b43799df512b52574cfe3ffbadfb62ddc71bacf89f4e0dc4c5ffed,"Will Ethereum reach $2,400 in March?",26.0,74.0
2,2,matching thresholds + jaccard 1.00,0.9632,0.1,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 96.9¢,KXNY10D-26-YNIO,Will Yuh-Line Niou be the Democratic nominee for NY-10? — Yuh-Line Niou,3.0,,0x8f3976d4104b6b3b4a716ef834d04e42411a4bec8dea79c58e5f5fa5241cf2b3,Will Yuh-Line Niou be the Democratic nominee for NY-10?,3.1,96.9
1,-1,needs review,0.825,11.5,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 87.5¢,KXBTCD-26MAR0906-T58999.99,"Bitcoin price  on Mar 9, 2026? — $59,000 or above",,1.0,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",87.5,12.5
2,-1,needs review,0.8666,1.5,NO on Kalshi @ 9.0¢  +  YES on Polymarket @ 89.5¢,SENATEIL-28-D,Will Democratics win the Senate race in Illinois? — Democratic party,96.0,9.0,0xdb9b47929435349bfc4f7a65e0ceb89d5cea388a87c4c6f10d0f736253ae0d76,Will the Democrats win the Illinois Senate race in 2026?,89.5,10.5
1,-1,needs review,0.8934,51.0,NO on Kalshi @ 42.0¢  +  YES on Polymarket @ 7.0¢,KXFED-27JAN-T2.75,"Will the upper bound of the federal funds rate be above 2.75% following the Fed's Jan 27, 2027 meeting? — Above 2.75%",65.0,42.0,0x0fe6bc20ffff1a1f3c0b076f2c512fc582fb82be1cf5836b59bbafa17151fb32,Will the upper bound of the target federal funds rate be 2.75% at the end of 2026?,7.000000000000001,93.0
1,1,threshold mismatch (2026.0 vs 31.0),0.8268,27.5,YES on Kalshi @ 27.0¢  +  NO on Polymarket @ 45.5¢,KXTARIFFRATEPRC-26JUL01-24,"Will the tariff rate on China imports be between 20% and 29.99% on Jul 1, 2026? — Between 20% and 29.99%",27.0,77.0,0xccea89b06c0223bf0f86f2ad23f9ae438352407530a22e567026ab85860e6b85,Will the U.S. tariff rate on China be between 15% and 25% on March 31?,54.50000000000001,45.5
1,-1,needs review,0.8954,60.5,NO on Kalshi @ 29.0¢  +  YES on Polymarket @ 10.5¢,KXFED-26JUL-T3.00,"Will the upper bound of the federal funds rate be above 3.00% following the Fed's Jul 29, 2026 meeting? — Above 3.00%",94.0,29.0,0xf9ca1f6608ee282342a6c8d108dda15b91fc9cc1cf9e90a548c3ae5f825b425f,Will the upper bound of the target federal funds rate be 3.0% at the end of 2026?,10.5,89.5
2,2,matching thresholds + jaccard 0.50,0.9077,5.5,NO on Kalshi @ 18.0¢  +  YES on Polymarket @ 76.5¢,HOUSENJ5-26-D,Will a Democrat win the House race for NJ-5? — Democratic party,89.0,18.0,0xeb7cd255b205bb461833be1149d246c42044c737c287028292250a09076289b5,Will the Democratic Party win the NJ-05 House seat?,76.5,23.5
2,2,matching thresholds + jaccard 1.00,0.9714,12.2,NO on Kalshi @ 25.0¢  +  YES on Polymarket @ 62.8¢,KXTXPRIMARY-30R26-EJAC,Will Everett Jackson be the Republican nominee for TX-30? — Everett Jackson,81.0,25.0,0x4ac1ad498fa8e583054cbdb8ce8390648ee8584fa048e07de45f46279527fded,Will Everett Jackson be the Republican Nominee for TX-30?,62.8,37.2
1,-1,needs review,0.8205,85.5,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 12.5¢,KXBTC-26MAR0906-B66625,"Bitcoin price range  on Mar 9, 2026? — $66,500 to 66,749.99",2.0,,0x1e9868469a6c2205d1935b5313a993a60015908763a17248098a43bc4ac25d16,"Will the price of Bitcoin be above $66,000 on March 9?",87.5,12.5
2,2,matching thresholds + jaccard 0.83,0.914,6.0,YES on Kalshi @ 15.0¢  +  NO on Polymarket @ 79.0¢,KXIPO-26-AINTUITION,Who will IPO before 2027? — Applied Intuition,15.0,88.0,0x76d92e422d9a4c1d9ceeea7445fa709df9df03e45b6372623abec7254caee3a9,Applied Intuition IPO before 2027?,21.0,79.0
2,-1,needs review,0.8931,0.05,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 99.0¢,KXPRESNOMR-28-KB,Will Katie Britt be the nominee for the Presidency for the Republican party? — Katie Britt,1.0,100.0,0x61a1278884fa70d68d4bcaaf72fad55bbdb063cac28c6947472ca91635fab10f,Will Katie Britt win the 2028 Republican presidential nomination?,1.05,98.95
1,2,high sim (0.965) + low price delta (1.0¢),0.9654,81.0,NO on Kalshi @ 10.0¢  +  YES on Polymarket @ 9.0¢,KXTOKENLAUNCH-27JAN01-OPEN,"Will OpenSea launch a token before Jan 1, 2027? — OpenSea",92.0,10.0,0xaf3a1430b16829f84ebf072067e68e692b4352f8a7ce65e46634fd0545bb934a,"Will OpenSea launch a token by March 31, 2026?",9.0,91.0
1,-1,needs review,0.9612,50.0,NO on Kalshi @ 28.0¢  +  YES on Polymarket @ 22.0¢,KXSPOTIFYALBUMRELEASEDATEDRAKE-26-JUN01-26,"Will Drake release Iceman before Jun 1, 2026? — Before June",82.0,28.0,0xf66ffc552a145bb25b7745b513d3f11a43646ae22868338b36ba6eb6c7909eae,"Will Drake officially release Iceman by March 31, 2026?",22.0,78.0
2,-1,needs review,0.9221,0.3,NO on Kalshi @ 29.0¢  +  YES on Polymarket @ 70.7¢,KXTRUMPMEETING-27JAN01-NAALS,"Will Donald Trump meet in person Ahmed al-Sharaa before Jan 1, 2027? — Ahmed al-Sharaa",76.0,29.0,0x6fb581b1640953e05e46d454f5e7907c5988dcade6781c8c8f812b32a47a1d45,Will Trump meet with Ahmed al-Sharaa in 2026?,70.7,29.299999999999997
2,2,matching thresholds + jaccard 0.75,0.9391,2.0,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 92.0¢,KXHOUSERACE-TN08-26-D,Will Democratic win the House race for TN-08? — Democratic party,6.0,100.0,0x0b48147029c6cacac29bbb6d7d8f030e44b89d49550db80c30473ce317d94563,Will the Democratic Party win the TN-08 House seat?,8.0,92.0
1,-1,needs review,0.8464,2.5,YES on Kalshi @ 77.0¢  +  NO on Polymarket @ 20.5¢,KXBTCD-26MAR1317-T64499.99,"Bitcoin price  on Mar 13, 2026? — $64,500 or above",77.0,26.0,0x5fa1b498b39b2b169c8986eba218b09ee7354ba79d94624fabfd802556a7ac33,"Will the price of Bitcoin be above $64,000 on March 13?",79.5,20.5
2,2,matching thresholds + jaccard 1.00,0.9677,2.45,YES on Kalshi @ 4.0¢  +  NO on Polymarket @ 93.5¢,KXNY13D-26-OROM,Will Oscar Romero be the Democratic nominee for NY-13? — Oscar Romero,4.0,99.0,0x422eecd1eec8d501c70508387d11b1ca7550da75002dcdc448d4d99236df53a9,Will Oscar Romero be the Democratic Nominee for NY-13?,6.45,93.55
2,2,matching thresholds + jaccard 1.00,0.9756,4.0,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 95.0¢,KXTXPRIMARY-38R26-JSUN,Will Jennifer Sundt be the Republican nominee for TX-38? — Jennifer Sundt,1.0,100.0,0x01ad3dd77ae6053d9079a86d462258da2e102fec71e5ff0a813b1e5da67c2142,Will Jennifer Sundt be the Republican Nominee for TX-38?,5.0,95.0
2,-1,needs review,0.8504,8.5,YES on Kalshi @ 8.0¢  +  NO on Polymarket @ 83.5¢,KXUSACOMPANYSTAKE-27JAN01-IONQ,Will any part of the United States federal government take a stake of above 0% in IonQ? — IonQ,8.0,97.0,0x3e318837fa58267e33e8af09dea56455c74ccb948627cfd0ae3bb6e69fa54788,"Will the US federal government take a stake in IonQ, Inc.?",16.5,83.5
