similarity,edge_cents,strategy,kalshi_id,kalshi_label,kalshi_yes,kalshi_no,poly_id,poly_label,poly_yes,poly_no
0.8296,97.95,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 1.1¢,KXRT-BRI-50,The Bride! Rotten Tomatoes score? — Above 50,,1.0,0x44a1e3c0b8dad86bcfac44ad176c78e9cf2f5136d7af578f3dc409e6e65f8eb3,"Will ""The Bride!"" score at least 60 on the Rotten Tomatoes Tomatometer?",1.05,98.95
0.8258,97.95,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 1.1¢,KXRT-BRI-45,The Bride! Rotten Tomatoes score? — Above 45,,1.0,0x44a1e3c0b8dad86bcfac44ad176c78e9cf2f5136d7af578f3dc409e6e65f8eb3,"Will ""The Bride!"" score at least 60 on the Rotten Tomatoes Tomatometer?",1.05,98.95
0.8253,97.95,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 1.1¢,KXRT-BRI-30,The Bride! Rotten Tomatoes score? — Above 30,,1.0,0x44a1e3c0b8dad86bcfac44ad176c78e9cf2f5136d7af578f3dc409e6e65f8eb3,"Will ""The Bride!"" score at least 60 on the Rotten Tomatoes Tomatometer?",1.05,98.95
0.8243,97.95,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 1.1¢,KXRT-BRI-57,The Bride! Rotten Tomatoes score? — Above 57,,1.0,0x44a1e3c0b8dad86bcfac44ad176c78e9cf2f5136d7af578f3dc409e6e65f8eb3,"Will ""The Bride!"" score at least 60 on the Rotten Tomatoes Tomatometer?",1.05,98.95
0.8239,97.95,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 1.1¢,KXRT-BRI-55,The Bride! Rotten Tomatoes score? — Above 55,,1.0,0x44a1e3c0b8dad86bcfac44ad176c78e9cf2f5136d7af578f3dc409e6e65f8eb3,"Will ""The Bride!"" score at least 60 on the Rotten Tomatoes Tomatometer?",1.05,98.95
0.9155,97.70,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 1.3¢,KXBADWUR-26MAR08-GRE,Will the Greens win the the 2026 Baden-Württemberg state election? — Greens,,1.0,0xabe1486b141aac413c96286eb3e4a2beffeccd3480431d239fadd0cddbc96143,Will The Greens win the most seats in the 2026 Baden-Württemberg parliamentary elections?,1.3,98.7
0.8229,97.40,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 1.6¢,KXRANKLISTSONGSPOTGLOBAL-26APR01-BRU,Will Bruno Mars be 1 on the Any Spotify Daily Top Songs Global chart in March 2026? — Bruno Mars,,1.0,0x58a7247c6cdab40bad9ae32fbb41a7319bedec8e6d587f590d23e13018678dce,"Will ""I Just Might - Bruno Mars"" be the #1 song on US Spotify this week?",1.6,98.4
0.8694,97.05,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 1.9¢,KXNEPALHOUSE-26MAR05-CPN,Will CPN (UML) win the 2026 Nepal House of Representatives election? — CPN (UML),1.0,,0x3df24e00ac1bc5563e3875687966f728a69f2354e47dcafb4ca990afa24f749d,Will Communist Party of Nepal (Unified Marxist–Leninist) (CPN-UML) win between 20 and 29 seats in Nepal’s 2026 House of Representatives election?,98.05,1.95
0.8592,96.60,NO on Kalshi @ 1.0¢  +  YES on Polymarket @ 2.4¢,KXFED-27MAR-T0.50,"Will the upper bound of the federal funds rate be above 0.50% following the Fed's Mar 17, 2027 meeting? — Above 0.50%",,1.0,0x857a2ae8088bc256184d6684adfdc7832d072e526c1e8f0d218c1160770c20e9,Will the upper bound of the target federal funds rate be ≤1.0% at the end of 2026?,2.4,97.6
0.9158,96.20,YES on Kalshi @ 2.0¢  +  NO on Polymarket @ 1.8¢,KXBADWUR-26MAR08-CDU,Will the CDU win the the 2026 Baden-Württemberg state election? — CDU,2.0,,0x5b33eda386e6fca9b5c73c57fea3f3bec863e17f9d483a0f30515913783cf24f,Will CDU win the most seats in the 2026 Baden-Württemberg parliamentary elections?,98.2,1.7999999999999998
