similarity,edge_cents,strategy,kalshi_id,kalshi_label,kalshi_yes,kalshi_no,poly_id,poly_label,poly_yes,poly_no,pred_label,pred_label_name,pred_prob_0,pred_prob_1,pred_prob_2
0.8806,41.35,YES on Kalshi @ 5.0¢  +  NO on Polymarket @ 53.6¢,KXUNSEC-27JAN-MMOT,Who will be the next Secretary-General of UN? — Mia Mottley,5.0,96.0,0x616906a81f6debb8f5a069d845c8054453d549c263e768979a2e8fd1cc31cca6,Will Mia Mottley be the next Secretary General of the United Nations?,46.35,53.65,2,true_match,0.4102,0.1457,0.444
0.9159,40.0,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 59.0¢,KXMWREG-26-GC,Will Grand Canyon be the Mountain West Conference regular season champions? — Grand Canyon,1.0,,0xcf6479ee037ea53e40a3a5d75a862db204dafc08238eb76947da086dc3b3f6e5,Will Grand Canyon win the 2026 Mountain West conference championship?,41.0,59.0,2,true_match,0.208,0.0709,0.7211
0.9137,40.0,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 59.0¢,KXMWREG-26-WYO,Will Wyoming be the Mountain West Conference regular season champions? — Wyoming,1.0,,0xaa2ee44940fcc8159bead36b5009258be89d3fd7d541f556214710bb5d93803b,Will Wyoming win the 2026 Mountain West conference championship?,41.0,59.0,2,true_match,0.2408,0.0613,0.6979
0.9052,39.5,YES on Kalshi @ 3.0¢  +  NO on Polymarket @ 57.5¢,KXNCAAMBBWEST-26-CP,Will Cal Poly be the Big West tournament champions? — Cal Poly,3.0,99.0,0xafe686ec77e6cc9abc6dbd01b4c782b1d90f5d6b417069dbe8a3d7d274eaac02,Will Cal Poly win the 2026 Big West conference championship?,42.5,57.49999999999999,2,true_match,0.4097,0.1422,0.4481
0.9206,37.5,YES on Kalshi @ 5.0¢  +  NO on Polymarket @ 57.5¢,KXNCAAMBBWEST-26-UCD,Will UC Davis be the Big West tournament champions? — UC Davis,5.0,96.0,0x6753a83992aec2fd9011ad8d3964babd1d9c511e210b639127b4d1941c291901,Will UC Davis win the 2026 Big West conference championship?,42.5,57.49999999999999,2,true_match,0.2061,0.0693,0.7245
0.9271,37.0,YES on Kalshi @ 6.0¢  +  NO on Polymarket @ 57.0¢,KXNCAAMBBWEST-26-CSF,Will Cal State Fullerton be the Big West tournament champions? — Cal State Fullerton,6.0,95.0,0xb8c92880b8da88985889931186048032708b795a6e0c874588ad44825928d52e,Will Cal State Fullerton win the 2026 Big West conference championship?,43.0,56.99999999999999,2,true_match,0.1919,0.0724,0.7357
0.8927,36.45,YES on Kalshi @ 10.0¢  +  NO on Polymarket @ 53.5¢,KXUNSEC-27JAN-MFER,Who will be the next Secretary-General of UN? — Maria Fernanda Espinosa Garcés,10.0,97.0,0x5e3bd109fcd8d8f3af85391151f8c44b6068a82e6b419384db03d68716166519,Will Maria Fernanda Espinosa Garcés be the next Secretary General of the United Nations?,46.45,53.55,2,true_match,0.23,0.1815,0.5885
0.9146,35.5,YES on Kalshi @ 7.0¢  +  NO on Polymarket @ 57.5¢,KXNCAAMBBWEST-26-UCSB,Will UC Santa Barbara be the Big West tournament champions? — UC Santa Barbara,7.0,95.0,0x89eba67c3f1464ff3de69030e0a80ed15f3a89757bf226242e6788f7bcf0427c,Will UC Santa Barbara win the 2026 Big West conference championship?,42.5,57.49999999999999,2,true_match,0.2215,0.065,0.7136
0.8301,35.5,YES on Kalshi @ 25.0¢  +  NO on Polymarket @ 39.5¢,KXSENATEOKR-26-KSTI,Will Kevin Stitt be the Republican nominee for the Senate in Oklahoma? — Kevin Stitt,25.0,76.0,0xe3cb2859934ee2fde166693fb9e89f22bdc0316c00dd5abc85e7ee0a53c9b071,Will Kevin Hern be the Republican nominee for Senate in Oklahoma?,60.5,39.5,2,true_match,0.3102,0.3358,0.354
0.905,34.9,YES on Kalshi @ 1.0¢  +  NO on Polymarket @ 64.1¢,KXBRPRES-26-EBOL,Will Eduardo Bolsonaro win the 2026 Brazilian presidential election? — Eduardo Bolsonaro,1.0,,0x1a01bf78f56a507fcb666d564d8c8b91b0750679163ed6e96746102c9b7d285d,Will Flávio Bolsonaro win the 2026 Brazilian presidential election?,35.9,64.1,2,true_match,0.3622,0.1352,0.5026
